"Id";"Name";"Start";"End";"Duration";"Resources";"Effort";"Children";"Precursors";"Link to GitHub"
"data.model.viewports";"    Viewports";"2016-11-15";"2016-11-15";0.0;"Helen Bach (helen), Stanislav Yotov (stan)";0.0;"";"XS bindings (data.format.pdf.mupdf.xs) ]->[ 2016-11-08, Refactor views into view-models (data.model.refactor_201611) ]->[ 2016-11-15";""
"data.model.split_201612";"    Split view models into separate packages";"2016-11-15";"2016-11-19";0.1;"Zaki Mughal (zaki)";0.0;"";"Viewports (data.model.viewports) ]->[ 2016-11-15";"https://github.com/project-renard/curie/issues/26"
"curie";"Curie";"2016-11-01";"2016-11-26";0.8;"";0.2;"Navigation (curie.nav), Build (curie.build), Data (curie.data), Render (curie.render), UI (curie.ui), Natural language processing (curie.nlp), Miscellaneous (curie.misc), Bugs (curie.bug), Quality assurance (curie.qa), Milestone (curie.milestone)";"";""
"curie.nav";"  Navigation";"2016-11-01";"2016-11-26";0.8;"";0.1;"Zoom (curie.nav.zoom), Outline (curie.nav.outline), Rotate page (curie.nav.rotate), PDF hyperlinks (curie.nav._Task_29), Scrolling (curie.nav.scroll)";"";""
"curie.nav.zoom";"    Zoom";"2016-11-01";"2016-11-26";0.8;"";0.1;"Zoom using menu (curie.nav.zoom.menu), Zoom using text entry (curie.nav.zoom.entry), Zoom using scrollwheel (curie.nav.zoom.scrollwheel), Zoom using viewports (curie.nav.zoom.viewport), Pinch to zoom (curie.nav.zoom._Task_25)";"Add zoom parameter to MuPDF calls (data.format.pdf.mutool.zoom) ]->[ 2016-11-01";""
"curie.nav.zoom.menu";"      Zoom using menu";"2016-11-01";"2016-11-02";0.0;"Zaki Mughal (zaki)";0.0;"";"Add zoom parameter to MuPDF calls (data.format.pdf.mutool.zoom) ]->[ 2016-11-01";""
"curie.nav.zoom.entry";"      Zoom using text entry";"2016-11-11";"2016-11-13";0.1;"";0.0;"Place text entry in GUI (curie.nav.zoom.entry._Task_21), Hook up text-entry callbacks (curie.nav.zoom.entry._Task_22)";"Add zoom parameter to MuPDF calls (data.format.pdf.mutool.zoom) ]->[ 2016-11-01";""
"curie.nav.zoom.entry._Task_21";"        Place text entry in GUI";"2016-11-11";"2016-11-12";0.0;"Zaki Mughal (zaki)";0.0;"";"Add zoom parameter to MuPDF calls (data.format.pdf.mutool.zoom) ]->[ 2016-11-01";""
"curie.nav.zoom.entry._Task_22";"        Hook up text-entry callbacks";"2016-11-12";"2016-11-13";0.0;"Zaki Mughal (zaki)";0.0;"";"Add zoom parameter to MuPDF calls (data.format.pdf.mutool.zoom) ]->[ 2016-11-01";""
"curie.nav.zoom.scrollwheel";"      Zoom using scrollwheel";"2016-11-22";"2016-11-24";0.1;"Zaki Mughal (zaki)";0.0;"";"Add zoom parameter to MuPDF calls (data.format.pdf.mutool.zoom) ]->[ 2016-11-01";"https://github.com/project-renard/curie/issues/15"
"curie.nav.zoom.viewport";"      Zoom using viewports";"2016-11-18";"2016-11-19";0.0;"Helen Bach (helen), Stanislav Yotov (stan), Zaki Mughal (zaki)";0.0;"";"Add zoom parameter to MuPDF calls (data.format.pdf.mutool.zoom) ]->[ 2016-11-01, Viewports (data.model.viewports) ]->[ 2016-11-15";""
"curie.nav.zoom._Task_25";"      Pinch to zoom";"2016-11-24";"2016-11-26";0.1;"Zaki Mughal (zaki)";0.0;"";"Add zoom parameter to MuPDF calls (data.format.pdf.mutool.zoom) ]->[ 2016-11-01, Render to canvas (curie.ui.canvas) ]->[ 2016-11-22";"https://github.com/project-renard/curie/issues/106"
"curie.nav.outline";"    Outline";"2016-11-16";"2016-11-17";0.0;"";0.0;"Specific page position (curie.nav.outline.position)";"";""
"curie.nav.outline.position";"      Specific page position";"2016-11-16";"2016-11-17";0.0;"Helen Bach (helen), Stanislav Yotov (stan)";0.0;"";"XS bindings (data.format.pdf.mupdf.xs) ]->[ 2016-11-08, Refactor views into view-models (data.model.refactor_201611) ]->[ 2016-11-15";"https://github.com/project-renard/curie/issues/149"
"curie.nav.rotate";"    Rotate page";"2016-11-01";"2016-11-01";0.0;"";0.0;"";"";"https://github.com/project-renard/curie/issues/16"
"curie.nav._Task_29";"    PDF hyperlinks";"2016-11-01";"2016-11-01";0.0;"";0.0;"";"";"https://github.com/project-renard/curie/issues/79"
"curie.nav.scroll";"    Scrolling";"2016-11-01";"2016-11-01";0.0;"";0.0;"Create methods for scrolling to top/bottom of the page (curie.nav.scroll.page_tb)";"";""
"curie.nav.scroll.page_tb";"      Create methods for scrolling to top/bottom of the page";"2016-11-01";"2016-11-01";0.0;"";0.0;"";"";"https://github.com/project-renard/curie/issues/54"
"curie.build";"  Build";"2016-11-01";"2016-11-09";0.3;"";0.0;"macOS (curie.build.mac), Unix packaging (curie.build._Task_36), GTK+ Mac OS X setup (curie.build._Task_37), Packaging meta-issue (curie.build._Task_38), GPG keys for packaging (curie.build._Task_39), Appveyor: 32-bit build (curie.build._Task_40), Signed code certificate (curie.build._Task_41)";"";""
